Data from Subt4__23__23.txt Node

Date: Fri Jun 07 14:39:21 CEST 2024
User: Naturwissenschaft
Spectrometer: FLMS00572
Trigger mode: 0
Integration Time (sec): 5,000000E-2
Scans to average: 20
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 5
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
308,383	-1,75
308,753	-3,01
309,122	-0,94
309,492	-0,9
309,861	-0,09
310,231	2,1
310,6	1,85
310,969	2,6
311,339	5,74
311,708	5,12
312,077	2,32
312,446	3,92
312,815	5,11
313,184	3,72
313,553	4,08
313,922	4,77
314,291	4,53
314,66	6,56
315,029	5,17
315,398	3,67
315,767	2,67
316,136	4,55
316,504	4,13
316,873	6,65
317,242	7,01
317,61	6,16
317,979	5,84
318,347	5,22
318,716	2,17
319,084	3,68
319,453	1,58
319,821	2,34
320,189	2,85
320,558	2,85
320,926	1,51
321,294	1,09
321,662	1,63
322,031	1,53
322,399	2,9
322,767	5,54
323,135	5,69
323,503	9,97
323,871	10,01
324,239	9,35
324,607	8,71
324,974	10,96
325,342	12,36
325,71	11,95
326,078	12,16
326,445	11,73
326,813	11,89
327,181	10,96
327,548	8,49
327,916	7,61
328,283	5,32
328,651	6,4
329,018	2,88
329,385	2,05
329,753	2,34
330,12	1,27
330,487	1,1
330,855	1,64
331,222	-1,25
331,589	-2,03
331,956	-1,76
332,323	0,46
332,69	0,08
333,057	1,12
333,424	0,4
333,791	1,3
334,158	0,49
334,525	0,73
334,892	0,48
335,258	2,72
335,625	5,71
335,992	5,09
336,358	4,31
336,725	5,72
337,091	5,27
337,458	5,61
337,824	4,5
338,191	2,33
338,557	2,88
338,924	-0,25
339,29	0,51
339,656	-1,45
340,023	-1,13
340,389	-1,16
340,755	-3,46
341,121	-2,33
341,487	-1,25
341,853	-0,71
342,219	2,63
342,585	1,52
342,951	2,51
343,317	2,44
343,683	1,59
344,049	2,02
344,415	3,41
344,78	2,81
345,146	3,7
345,512	1,43
345,877	0,82
346,243	0,24
346,608	-0,33
346,974	0,06
347,339	2,15
347,705	3,23
348,07	2,13
348,436	2,99
348,801	3,94
349,166	1,75
349,531	4,8
349,897	6,51
350,262	6,77
350,627	4,42
350,992	4,98
351,357	3,18
351,722	1,92
352,087	4,58
352,452	2,47
352,817	2,91
353,181	4,87
353,546	1,54
353,911	-0,12
354,276	1,49
354,64	4,24
355,005	5,5
355,37	4,2
355,734	3,33
356,099	0,08
356,463	-0,13
356,828	-0,46
357,192	-2,03
357,556	-1
357,921	0,56
358,285	-0,92
358,649	-0,75
359,013	0,49
359,378	2,39
359,742	3,66
360,106	6,66
360,47	7,4
360,834	8,1
361,198	8,84
361,562	8,62
361,926	7,03
362,289	7,45
362,653	7,26
363,017	4,09
363,381	1,97
363,744	2,83
364,108	2,81
364,472	3,97
364,835	4,57
365,199	4,97
365,562	5,23
365,926	4,16
366,289	3,24
366,652	3,58
367,016	6,17
367,379	8,73
367,742	7,07
368,105	5,72
368,469	5,53
368,832	5,06
369,195	4,96
369,558	3,25
369,921	3,91
370,284	4,12
370,647	3,62
371,01	1,88
371,372	1,57
371,735	4,08
372,098	4,05
372,461	4,13
372,823	5,27
373,186	5,02
373,549	7,02
373,911	7,77
374,274	5,87
374,636	6,55
374,999	7,47
375,361	6,22
375,723	4,87
376,086	6,27
376,448	6
376,81	4,3
377,172	3,98
377,535	3,89
377,897	2,53
378,259	5,71
378,621	5,29
378,983	2,55
379,345	3,82
379,707	3,56
380,068	3,87
380,43	3,39
380,792	3,37
381,154	2,55
381,516	3,17
381,877	4
382,239	3,82
382,6	3,98
382,962	5,28
383,323	3,93
383,685	4,1
384,046	2,74
384,408	4,23
384,769	3,99
385,13	5
385,492	4,09
385,853	3,08
386,214	2,87
386,575	1,15
386,936	-0,76
387,297	-1,39
387,658	-1,74
388,019	0,47
388,38	0,34
388,741	1,31
389,102	1,33
389,463	2,05
389,823	2,81
390,184	1,92
390,545	2,54
390,906	4,19
391,266	7,08
391,627	7,46
391,987	7,32
392,348	6,65
392,708	7,83
393,069	8,92
393,429	6,82
393,789	8,4
394,15	9,36
394,51	10,65
394,87	11,69
395,23	8,95
395,59	8,14
395,95	5,34
396,31	5,25
396,67	3,72
397,03	5,25
397,39	9,67
397,75	9,97
398,11	7,14
398,47	6,91
398,829	7,09
399,189	7,11
399,549	9,79
399,908	11,84
400,268	10,42
400,627	8,52
400,987	5,28
401,346	2,05
401,706	5,8
402,065	11,6
402,424	23,06
402,784	55,36
403,143	145,11
403,502	323,72
403,861	543,75
404,221	705,1
404,58	808,19
404,939	867,78
405,298	897,68
405,657	903,78
406,015	903,91
406,374	895,31
406,733	863,43
407,092	774,93
407,451	594,81
407,809	372,47
408,168	211,87
408,527	112,32
408,885	53,4
409,244	24,32
409,602	13,55
409,961	9,85
410,319	6,98
410,678	5,42
411,036	5,28
411,394	4,64
411,752	5,32
412,111	7,53
412,469	3,63
412,827	5,53
413,185	7,55
413,543	7,98
413,901	8,35
414,259	9,67
414,617	12,32
414,975	12,34
415,333	13,09
415,69	12,33
416,048	11,32
416,406	13,92
416,763	13,45
417,121	12,05
417,479	13,21
417,836	12,86
418,194	14,82
418,551	13,46
418,909	14,09
419,266	15,29
419,623	18,8
419,981	19,81
420,338	20,64
420,695	21,89
421,052	22,92
421,409	21,46
421,766	22,91
422,123	18,86
422,48	20,33
422,837	20,21
423,194	19,48
423,551	17,79
423,908	16,54
424,265	16,51
424,621	14,69
424,978	14,01
425,335	16,83
425,691	15,53
426,048	19,25
426,404	20,17
426,761	21,9
427,117	23,34
427,474	23,85
427,83	21,99
428,186	21,34
428,543	21,77
428,899	21,02
429,255	19,58
429,611	23,25
429,967	23,91
430,323	23,28
430,679	22,34
431,035	22,41
431,391	23,21
431,747	27,97
432,103	30,39
432,459	31,18
432,815	33,78
433,17	34,63
433,526	32,23
433,882	30,39
434,237	29,82
434,593	32,32
434,948	31,98
435,304	32,6
435,659	30,73
436,014	28,09
436,37	31,53
436,725	29,91
437,08	31,66
437,436	33,58
437,791	32,94
438,146	32,56
438,501	30,19
438,856	29,76
439,211	30,76
439,566	30,57
439,921	33,65
440,276	32
440,63	33,93
440,985	33,31
441,34	31,76
441,695	34,47
442,049	35,96
442,404	36,89
442,758	38,87
443,113	40,75
443,467	42,82
443,822	42,29
444,176	41,95
444,531	42,58
444,885	41,75
445,239	44,19
445,593	42,25
445,948	42,51
446,302	42,3
446,656	43,07
447,01	43,19
447,364	44,19
447,718	45,06
448,072	44,92
448,426	46,7
448,779	48,39
449,133	48,54
449,487	51,15
449,841	51,74
450,194	52,92
450,548	52,7
450,902	51,98
451,255	51,41
451,609	51,94
451,962	53,38
452,315	51,98
452,669	52,39
453,022	52,48
453,375	52,2
453,729	49,67
454,082	51,66
454,435	51,36
454,788	50,05
455,141	48,73
455,494	49,26
455,847	48,88
456,2	51,57
456,553	52,11
456,906	51,16
457,258	50,99
457,611	53,25
457,964	52,15
458,316	53,33
458,669	55,53
459,022	56,4
459,374	54,51
459,727	56,93
460,079	52,82
460,432	52,01
460,784	54,83
461,136	54,83
461,488	55,44
461,841	55,29
462,193	57,19
462,545	58,25
462,897	61,42
463,249	65,45
463,601	63,37
463,953	66,57
464,305	68,52
464,657	65,21
465,009	66,64
465,361	67,68
465,712	70,04
466,064	70,34
466,416	69,31
466,767	67,56
467,119	65,43
467,47	66,73
467,822	65,41
468,173	64,29
468,525	68,58
468,876	69,88
469,227	70,17
469,579	70,58
469,93	69,88
470,281	68,68
470,632	70,49
470,983	70,7
471,334	69,96
471,685	70,76
472,036	71,77
472,387	70
472,738	68,21
473,089	68,22
473,44	65,55
473,79	64,13
474,141	65,13
474,492	63,77
474,842	64,75
475,193	65,4
475,543	65,78
475,894	68,08
476,244	71,13
476,595	71,28
476,945	74,54
477,295	77,7
477,645	77,95
477,996	82,11
478,346	83,69
478,696	84,45
479,046	85,5
479,396	88,15
479,746	87,36
480,096	85,09
480,446	89,04
480,796	88,87
481,145	92,08
481,495	94,66
481,845	92,76
482,195	92,88
482,544	95,8
482,894	98,83
483,243	97,79
483,593	98,49
483,942	101,16
484,292	101,28
484,641	102,05
484,99	99,54
485,34	102,46
485,689	104,85
486,038	108,94
486,387	109,58
486,736	108,88
487,085	112,97
487,434	115
487,783	117,7
488,132	121,23
488,481	124,3
488,83	127,64
489,179	128,98
489,527	132,56
489,876	134,48
490,225	137,11
490,573	139,16
490,922	142,64
491,27	146,88
491,619	149,91
491,967	152,42
492,316	154,61
492,664	160,64
493,012	165,74
493,361	166,17
493,709	168,88
494,057	173,94
494,405	182
494,753	187,08
495,101	192,75
495,449	198,72
495,797	207,4
496,145	217,7
496,493	227,39
496,84	236,69
497,188	250,41
497,536	265,16
497,884	277,77
498,231	291,86
498,579	307,47
498,926	324,38
499,274	341,99
499,621	358,22
499,969	375,82
500,316	396,41
500,663	419,85
501,01	444,57
501,358	470,89
501,705	498,25
502,052	526,27
502,399	559,68
502,746	595,42
503,093	631,61
503,44	674,67
503,787	720,68
504,134	768,79
504,481	816,63
504,827	872,34
505,174	928,22
505,521	994,37
505,867	1061,8
506,214	1132,37
506,56	1208,5
506,907	1289,58
507,253	1371,84
507,6	1460,14
507,946	1551,24
508,292	1650,68
508,639	1752,34
508,985	1858,43
509,331	1969,46
509,677	2089,53
510,023	2210,73
510,369	2337,39
510,715	2473,55
511,061	2612,6
511,407	2756,91
511,753	2906,37
512,099	3056,54
512,444	3208,76
512,79	3367,24
513,136	3525,98
513,481	3683,65
513,827	3843,65
514,172	4001,31
514,518	4158,92
514,863	4318,5
515,209	4475,07
515,554	4625,63
515,899	4774,89
516,245	4916,82
516,59	5050,48
516,935	5179,64
517,28	5300,97
517,625	5412,92
517,97	5520,38
518,315	5607,44
518,66	5686,37
519,005	5751,02
519,35	5804,59
519,695	5850,02
520,039	5882,16
520,384	5907,37
520,729	5915,67
521,073	5915,04
521,418	5902,18
521,762	5871,84
522,107	5843,11
522,451	5796,45
522,796	5739,48
523,14	5681,64
523,484	5612,74
523,829	5538,84
524,173	5459,19
524,517	5374,48
524,861	5284,2
525,205	5191,02
525,549	5099,17
525,893	5000,8
526,237	4903,32
526,581	4808,57
526,925	4711,64
527,269	4614,26
527,612	4518,97
527,956	4425,64
528,3	4333,02
528,643	4238,72
528,987	4151,78
529,33	4066,22
529,674	3982,9
530,017	3904,06
530,36	3831,99
530,704	3752,41
531,047	3677,83
531,39	3607,6
531,733	3538,11
532,077	3469,41
532,42	3409,36
532,763	3344,81
533,106	3283,05
533,449	3224,59
533,792	3167,63
534,134	3107,2
534,477	3057,66
534,82	3007,98
535,163	2958,99
535,505	2907,13
535,848	2859,64
536,191	2812,48
536,533	2769,28
536,876	2731,32
537,218	2690,78
537,56	2651,94
537,903	2615,83
538,245	2578,84
538,587	2544,97
538,93	2510,41
539,272	2478,94
539,614	2449,47
539,956	2418,59
540,298	2389,43
540,64	2355,95
540,982	2329,52
541,324	2301,36
541,666	2272,99
542,007	2245,2
542,349	2218,41
542,691	2196,06
543,032	2173,75
543,374	2153,67
543,716	2133
544,057	2115,06
544,398	2099,1
544,74	2079,01
545,081	2063,63
545,423	2049,3
545,764	2034,69
546,105	2022,62
546,446	2007,91
546,787	1995,31
547,128	1984,58
547,469	1974,66
547,81	1964,64
548,151	1957,66
548,492	1951,16
548,833	1945,52
549,174	1943,65
549,515	1941,08
549,855	1936,29
550,196	1933,22
550,537	1933,54
550,877	1929,57
551,218	1928,54
551,558	1926,36
551,899	1923,37
552,239	1922,4
552,579	1919,13
552,92	1913,92
553,26	1910,74
553,6	1907,89
553,94	1907,36
554,28	1903,65
554,62	1902,78
554,96	1904,3
555,3	1903,86
555,64	1902,54
555,98	1902,38
556,32	1902,2
556,66	1901,37
556,999	1903,13
557,339	1903,61
557,679	1903,56
558,018	1905,37
558,358	1907,16
558,697	1907,9
559,037	1914,29
559,376	1920,3
559,715	1926,95
560,055	1935,71
560,394	1942,74
560,733	1953,1
561,072	1963,5
561,411	1978,39
561,75	1992,96
562,089	2011,16
562,428	2028,17
562,767	2048,18
563,106	2066,75
563,445	2087,21
563,784	2109,37
564,122	2140,19
564,461	2168,65
564,8	2205,99
565,138	2241,26
565,477	2280,47
565,815	2321,5
566,154	2367,5
566,492	2413,69
566,83	2467,74
567,169	2523,96
567,507	2590,48
567,845	2656,15
568,183	2730,38
568,521	2803,1
568,859	2883,54
569,197	2966,91
569,535	3056,31
569,873	3151,1
570,211	3251,8
570,549	3359,04
570,887	3470,36
571,224	3580,7
571,562	3703,12
571,9	3825,25
572,237	3951,39
572,575	4083,81
572,912	4223,17
573,25	4359,92
573,587	4503,37
573,924	4649,57
574,262	4800,01
574,599	4954,84
574,936	5113,95
575,273	5267,17
575,61	5430,85
575,947	5595,56
576,284	5755,17
576,621	5912,1
576,958	6071,07
577,295	6229,58
577,632	6384,25
577,969	6533,8
578,305	6677,71
578,642	6811,23
578,979	6951,57
579,315	7074,65
579,652	7192,66
579,988	7303,74
580,325	7412,85
580,661	7512,17
580,997	7595,47
581,334	7669,8
581,67	7732,16
582,006	7780,21
582,342	7830,29
582,678	7850,84
583,014	7861,87
583,35	7869,67
583,686	7862,21
584,022	7834,58
584,358	7803,34
584,694	7764,08
585,029	7709,83
585,365	7651,91
585,701	7585,44
