 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
76,340,6848.1089,2475.4199,1859,14290,340,5419.8647,2063.1616,1123,13294
77,340,6666.2793,2350.8269,2025,13596,340,5350.2998,2037.7633,1466,13605
78,340,6771.3179,2421.6758,2159,14316,340,5412.2383,2049.7827,1632,12313
79,340,6682.3765,2363.9998,2316,14607,340,5331.6528,2041.3059,1577,14742
80,340,6685.6675,2384.2334,1630,14010,340,5309.9321,2004.4423,1347,13014
81,340,6630.2969,2372.9043,1555,13919,340,5257.6001,2019.5277,1489,12728
82,340,6599.0767,2336.1599,1938,13362,340,5267.4883,2002.2509,1669,13063
83,340,6575.8267,2383.8005,1729,13139,340,5341.9883,2027.7716,1513,13028
84,340,6500.7441,2284.7815,1858,13779,340,5288.0972,2036.1493,1325,13552
85,340,6567.7412,2372.7378,2314,13553,340,5289.3530,2041.3844,1456,13351
86,340,6520.9204,2419.7368,1537,14120,340,5258.0708,2025.7815,1315,14246
87,340,6511.3442,2361.2493,1422,12864,340,5297.7412,2017.0305,1618,12713
88,340,6430.0796,2373.1238,1625,13816,340,5177.0264,2000.5608,1239,12689
89,340,6521.9146,2363.3450,2073,12937,340,5255.0972,2026.2844,1401,13254
90,340,6392.2119,2347.2322,1465,13032,340,5146.5615,1988.9192,1274,12118
91,340,6456.4590,2290.4443,1839,13676,340,5205.9263,2010.9800,1372,12113
92,340,6292.4146,2290.6169,1819,11943,340,5145.4619,1927.2666,1518,11674
93,340,6389.7266,2297.6914,1859,12303,340,5198.6353,1957.8524,981,12076
94,340,6267.5854,2324.5559,1839,12785,340,5078.8027,1896.7169,1121,10450
95,340,6374.2764,2290.0576,1938,12739,340,5182.5737,1970.8375,1258,12386
96,340,6128.6353,2157.4941,1858,11461,340,5034.8589,1912.1642,1366,10913
97,340,6280.8442,2253.0593,1572,12000,340,5138.8057,1929.2809,1258,11961
98,340,6129.1821,2247.8142,1716,11765,340,5025.2383,1909.8851,1559,12462
99,340,6242.4263,2307.4001,1782,12317,340,5101.5498,1954.0327,1078,11916
100,340,6077.2236,2267.3442,1348,13373,340,5040.7969,1974.6886,983,11707
101,340,6254.9087,2259.6121,1379,11812,340,5132.7646,1973.5306,1178,13143
102,340,6150.2031,2152.2878,1769,12329,340,5030.7646,1897.6748,1289,12617
103,340,6152.1616,2245.7249,1610,12155,340,5057.3115,1936.8121,1383,12605
104,340,6071.9971,2228.1064,1716,12143,340,5082.9824,1956.0898,1302,13239
105,340,6146.6885,2285.2361,1457,12539,340,5034.6528,1994.5659,1137,11815
106,340,6043.9058,2194.7810,1691,12703,340,4994.5796,1867.9739,1272,11469
107,340,6050.9263,2197.3928,1686,12382,340,5022.4736,1905.2081,1306,11200
108,340,6044.4385,2174.6511,1952,12129,340,5016.8354,1943.7643,1477,12098
109,340,5953.4883,2175.8208,1751,11928,340,4915.9971,1872.1763,1145,11479
110,340,6010.6616,2166.4346,1302,11855,340,5012.4648,1892.0240,1102,10783
111,340,5857.4678,2130.7034,1497,11703,340,4918.3208,1859.0703,1333,11530
112,340,5951.8618,2187.4324,1602,12198,340,4985.9736,1923.1661,1285,12588
113,340,5906.8560,2132.0476,1553,11857,340,4904.0708,1827.3025,1529,11015
114,340,5964.1851,2160.8813,1629,12349,340,4971.3413,1870.3296,1290,10599
115,340,5777.0737,2097.9648,1477,12186,340,4880.9883,1825.9630,858,10966
116,340,5886.2646,2151.0337,1655,12438,340,4967.8057,1845.7002,1045,11340
117,340,5730.4854,2107.9431,1520,11653,340,4804.1733,1765.5009,1363,10614
118,340,5860.3970,2098.7417,1170,12243,340,4907.5176,1856.2888,1459,11841
119,340,5740.9795,2079.8914,1394,11860,340,4846.3267,1791.5116,1542,11266
120,340,5733.1177,2082.0176,1545,11231,340,4898.2148,1806.7053,1403,10719
121,340,5715.4561,2030.9384,1319,11232,340,4805.4502,1843.7754,1424,10870
122,340,5740.7266,2092.1111,1524,11689,340,4812.9531,1790.2465,1427,10152
123,340,5700.5146,2070.3010,1467,10928,340,4826.6587,1809.4541,1202,11360
124,340,5662.7090,2020.3623,1727,11248,340,4793.0322,1739.1824,1211,10517
125,340,5642.6060,2053.9514,1778,10895,340,4823.7822,1798.4352,1323,10797
126,340,5682.1792,2107.7593,1499,11740,340,4780.6440,1783.3601,1286,10420
127,340,5650.3208,2057.9128,1519,11105,340,4809.6675,1832.1057,1208,11498
128,340,5570.8530,2033.6730,1411,11260,340,4782.7266,1817.4019,1293,10120
